REPORTING YEAR,INSTITUTION OR ORGANIZATION,TYPE OF INSTITUTION OR ORGANIZATION,CITY,STATE,CREDIT CARD ISSUER,STATUS,IN EFFECT AS OF BEGINNING OF NEXT YEAR,TOTAL OPEN ACCOUNTS AS OF END OF REPORTING YEAR,PAYMENTS BY ISSUER,NEW ACCOUNTS OPENED IN REPORTING YEAR
2009,"Educational Communications, Inc.",Other,Lake Forest,IL,"FIA Card Services, N.A.",,,10765,-,-
2009,The Alumni Associationof the University of Nebraska-Lincoln,Alumni Association,Lincoln ,NE,Chase Bank,,,8368,-,-
2009,"Brazos Higher Education Service Corporation, Inc.",Other,Waco,TX,"FIA Card Services, N.A.",,,1086,-,-
2009,Regents of the University of Minnesota,University,Minneapolis,MN,Chase Bank,,,1002,-,-
2009,United States Air Force Academy Athletic Association,Other,USAFA,CO,Chase Bank,,,984,-,-
2009,Arkansas State University Alumni Association,Alumni Association,State University,AR,Chase Bank,,,729,-,-
2009,University of California at Santa Barbara Alumni Association,Alumni Association,Santa Barbara,CA,Chase Bank,,,661,-,-
2009,Vassar College,University,Poughkeepsie,NY,"FIA Card Services, N.A.",,,362,-,-
2009,St. Bonaventure University,University,St. Bonaventure,NY,Chase Bank,,,301,-,-
2009,"California State University, Hayward Alumni Association",Alumni Association,Hayward,CA,"FIA Card Services, N.A.",,,289,-,-
2009,West Texas A&M University Alumni Association,Alumni Association,Canyon,TX,"FIA Card Services, N.A.",,,288,-,-
2009,Northeastern Illinois University  ,University,Chicago,IL,"FIA Card Services, N.A.",,,108,-,-
2009,Foothill De Anza College,University,Los Altos Hills,CA,"FIA Card Services, N.A.",,,78,-,-
2009,University of Wisconsin Eau Claire Foundation,Foundation,Eau Claire,WI,"FIA Card Services, N.A.",,,70,-,-
2009,"The Colleges of the Seneca, Inc.",University,Geneva,NY,"FIA Card Services, N.A.",,,53,-,-
2009,Cheyney Foundation,Foundation,Cheyney,PA,"FIA Card Services, N.A.",,,43,-,-
2009,"St. Catharine's College, Cambridge",University,Cambridge,UK,"FIA Card Services, N.A.",,,1,-,-
2009,Keystone College Alumni Association,Alumni Association,La Plume,PA,Capital One,,,0,-,-
2009,Cavalier Sports Marketing,Other,Charlottesville,VA,Chase Bank,,,0,-,-
2009,National Student Speech Language Hearing Association,Other,Rockville,MD,"FIA Card Services, N.A.",,,0,-,-
2009,Stevens Institute of Technology,University,Hoboken,NJ,"FIA Card Services, N.A.",,,0,-,-
2009,"SUNY-Canton College Foundation, Inc.",Foundation,Canton,NY,"FIA Card Services, N.A.",,,0,-,-
2009,University of Nebraska College of Medicine Alumni Association,Alumni Association,Omaha,NE,"FIA Card Services, N.A.",,,0,-,-
2009,College of West Africa Alumni Association,Alumni Association,Bowie,MD,UMB Bank,,,0,-,-
2009,Mountain State University Alumni Association,Alumni Association,Beckley,WV,UMB Bank,,,0,-,-
2009,"Polytechnic Institute Alumni Association, Inc.",Alumni Association,Brooklyn,NY,UMB Bank,,,0,-,-
2009,"Seminole Boosters, Inc.",Other,Tallahassee,FL,"FIA Card Services, N.A.",,,8992,-,514
2009,American Military Society,Other,Upper Marlboro,MD,U.S. Bank National Association ND,,,3581,-,469
2009,University of North Dakota Alumni Association,Alumni Association,Grand Forks,ND,U.S. Bank National Association ND,,,1930,-,406
2009,Baylor University Alumni Association,Alumni Association,Waco,TX,U.S. Bank National Association ND,,,4871,-,362
2009,New York University ,University,New York,NY,"FIA Card Services, N.A.",,,10808,-,296
2009,Butte College Foundation,Foundation,Oroville,CA,U.S. Bank National Association ND,,,516,-,185
2009,Millersville University Alumni Association,Alumni Association,Millersville,PA,U.S. Bank National Association ND,,,3111,-,141
2009,"UB Alumni Association,  Inc.",Alumni Association,Buffalo,NY,"FIA Card Services, N.A.",,,1921,-,140
2009,SUNY Cortland Alumni Association,Alumni Association,Cortland,NY,U.S. Bank National Association ND,,,1186,-,130
2009,University of Hartford Alumni Association,Alumni Association,West Hartford,CT,U.S. Bank National Association ND,,,912,-,130
2009,LSU Alumni Association,Alumni Association,Baton Rouge,LA,"FIA Card Services, N.A.",,,8840,-,126
2009,"SUNY College at Oneonta Alumni Association, Inc.",Alumni Association,Oneonta,NY,U.S. Bank National Association ND,,,853,-,125
2009,Rensselaer Polytechnic Institute Alumni Association,Alumni Association,Troy ,NY,U.S. Bank National Association ND,,,1191,-,116
2009,Bridgewater State College Alumni Association,Alumni Association,Bridgewater,MA,U.S. Bank National Association ND,,,747,-,114
2009,Southern Connecticut State University Alumni Association,Alumni Association,New Haven,CT,U.S. Bank National Association ND,,,1244,-,113
2009,University of Alabama at Birmingham National Alumni Society,Alumni Association,Birmingham,AL,U.S. Bank National Association ND,,,1951,-,102
2009,Southeastern Louisiana Alumni Association,Alumni Association,Hammond,LA,U.S. Bank National Association ND,,,651,-,94
2009,University of Massachusetts-Dartmouth Alumni Association,Alumni Association,North Dartmouth,MA,U.S. Bank National Association ND,,,1298,-,85
2009,University of Wisconsin Eau Claire Foundation,Foundation,Eau Claire,WI,U.S. Bank National Association ND,,,1015,-,80
