year,institution_name,inst_type_name,institution_city,state_abbv,CC_iss_name,total_open_acc,total_new_acc
2009,Abilene Christian University,University,Abilene,TX,"FIA Card Services, N.A.",1699,13
2009,Academy of Art College,University,San Francisco,CA,"FIA Card Services, N.A.",132,0
2009,Administrators of the Tulane Educational Fund,Foundation,New Orleans,LA,"FIA Card Services, N.A.",1495,31
2009,Adrian College,University,Adrian,MI,"FIA Card Services, N.A.",110,0
2009,Alabama Pharmacy Association,Other,Montgomery,AL,"FIA Card Services, N.A.",124,0
2009,Alabama State University,University,Montgomery,AL,"FIA Card Services, N.A.",291,7
2009,Albany College of Pharmacy,University,Albany,NY,"FIA Card Services, N.A.",41,0
2009,Albany Law School,University,Albany,NY,"FIA Card Services, N.A.",128,0
2009,Alcorn State University,University,Lorman,MS,"FIA Card Services, N.A.",258,3
2009,"Alfred State Alumni Association, Inc.",Alumni Association,Alfred,NY,"FIA Card Services, N.A.",381,15
2009,Alpha Chi National College Honor Scholarship Society,Other,Searcy,AR,"FIA Card Services, N.A.",1465,73
2009,Alpha Chi Omega,Other,Indianapolis,IN,"FIA Card Services, N.A.",1921,57
2009,Alpha Chi Rho Fraternity,Other,Neptune,NJ,"FIA Card Services, N.A.",139,6
2009,Alpha Delta Pi Sorority,Other,Atlanta,GA,"FIA Card Services, N.A.",2952,13
2009,Alpha Epsilon Delta,Other,Harrisonburg,VA,"FIA Card Services, N.A.",10,8
2009,Alpha Epsilon Phi Foundation,Foundation,Stamford,CT,"FIA Card Services, N.A.",146,2
2009,Alpha Gamma Delta,Other,Indianapolis,IN,"FIA Card Services, N.A.",1403,40
2009,Alpha Gamma Rho Fraternity,Other,Kansas City,MO,"FIA Card Services, N.A.",749,34
2009,"Alpha Kappa Psi Fraternity, Inc.",Other,Indianapolis,IN,U.S. Bank National Association ND,264,92
2009,Alpha Omega International Dental Fraternity,Other,Baltimore,MD,"FIA Card Services, N.A.",79,1
2009,"Alpha Omicron Pi Fraternity, Inc.",Other,Brentwood,TN,"FIA Card Services, N.A.",2491,70
2009,"Alpha Phi Alpha Fraternity, Inc.",Other,Baltimore,MD,"FIA Card Services, N.A.",483,0
2009,"Alpha Phi Delta Foundation, Inc.",Foundation,Monroeville,PA,"FIA Card Services, N.A.",174,12
2009,Alpha Phi International Fraternity,Other,Evanston,IL,"FIA Card Services, N.A.",1772,48
2009,Alpha Sigma Alpha Sorority,Other,Indianapolis,IN,"FIA Card Services, N.A.",638,30
2009,Alpha Sigma Tau,Other,Birmingham,AL,"FIA Card Services, N.A.",271,13
2009,Alpha Tau Omega,Other,Indianapolis,IN,"FIA Card Services, N.A.",514,36
2009,Alpha Xi Delta Fraternity,Other,Indianapolis,IN,"FIA Card Services, N.A.",1070,38
2009,Alumnae Association of Smith College,Alumni Association,Northampton,MA,"FIA Card Services, N.A.",3253,39
2009,Alumnae Association of the College of Saint Elizabeth,Alumni Association,Morristown,NJ,"FIA Card Services, N.A.",318,8
2009,Alumnae Association of Wilson College,Alumni Association,Chambersburg,PA,"FIA Card Services, N.A.",254,1
2009,Alumni Association of the University of Michigan and the Regents of the University of Michigan,"Alumni Association, University",Ann Arbor,MI,"FIA Card Services, N.A.",38358,947
2009,Alumni Associationof Fashion Institute of Technology,Alumni Association,New York,NY,"FIA Card Services, N.A.",68,3
2009,Alumni Associationof George Mason University,Alumni Association,Fairfax,VA,"FIA Card Services, N.A.",1846,76
2009,Alumni Associationof Philadelphia College of Osteopathic Medicine ,Alumni Association,Philadelphia,PA,"FIA Card Services, N.A.",65,4
2009,"Alumni Associationof Purchase College, State University of New York",Alumni Association,Purchase,NY,"FIA Card Services, N.A.",345,14
2009,Alumni Associationof the City College of New York,Alumni Association,New York,NY,"FIA Card Services, N.A.",692,46
2009,Alumni Associationof the State University of New York at Albany,Alumni Association,Albany,NY,"FIA Card Services, N.A.",1220,23
2009,Alumni Associationof the University of South Dakota,Alumni Association,Vermillion,SD,"FIA Card Services, N.A.",1188,27
2009,Alumni Associationof the University of Virginia,Alumni Association,Charlottesville,VA,"FIA Card Services, N.A.",58,58
2009,Alumni Associationof the University of West Alabama,Alumni Association,Livingston,AL,"FIA Card Services, N.A.",161,6
2009,Alumni Associationof Winthrop University,Alumni Association,Rock Hill,SC,"FIA Card Services, N.A.",351,27
2009,Alumni AssociationSchool of Medicine of Loma Linda University,Alumni Association,Loma Linda,CA,"FIA Card Services, N.A.",181,4
2009,Alverno College,University,Milwaukee,WI,"FIA Card Services, N.A.",356,14
2009,American Academy of Optometry,Other,Rockville,MD,"FIA Card Services, N.A.",228,3
2009,American Academy of Osteopathy,Other,Indianapolis,IN,"FIA Card Services, N.A.",63,0
2009,American Association for Justice,Other,Washington,DC,"FIA Card Services, N.A.",8691,75
2009,American Association of University Professors,Other,Washington,DC,"FIA Card Services, N.A.",2023,32
2009,American Association of University Women,Other,Washington,DC,U.S. Bank National Association ND,1872,95
2009,American Chemical Society,Other,Washington,DC,"FIA Card Services, N.A.",7190,92
2009,American College of Osteopathic Family Physicians,Other,Arlington Heights,IL,"FIA Card Services, N.A.",1041,23
2009,American College of Sports Medicine,Other,Indianapolis,IN,"FIA Card Services, N.A.",525,18
2009,American College Student Association,Other,Columbia,SC,"FIA Card Services, N.A.",24,0
2009,American Counseling Association,Other,Alexandria,VA,"FIA Card Services, N.A.",2923,153
2009,American Design Drafting Association,Other,Rockville,MD,"FIA Card Services, N.A.",44,2
2009,American Health Information Management Association,Other,Chicago,IL,"FIA Card Services, N.A.",1696,45
2009,"American Institute of Aeronautics and Astronautics, Inc.",Other,Reston,VA,"FIA Card Services, N.A.",1210,9
2009,American Institute of Architecture Students,Other,Washington,DC,"FIA Card Services, N.A.",94,9
2009,American Institute of Biological Sciences,Other,Washington,DC,"FIA Card Services, N.A.",98,0
2009,"American Institute of Chemists, Inc.",Other,Bethesda,MD,"FIA Card Services, N.A.",170,0
