institution_name,inst_type_name,institution_city,state_abbv,active_ind,display_order
"	Georgia State University Alumni Association	",Alumni Association,Atlanta,GA,Y,1
AACS,Alumni Association,Chattanooga,TN,Y,2
Abilene Christian University,University,Abilene,TX,Y,3
Academy of Art College,University,San Francisco,CA,Y,4
Administrators of the Tulane Educational Fund,Foundation,New Orleans,LA,Y,5
Adrian College,University,Adrian,MI,Y,6
Alabama A&M University Alumni Association,Alumni Association,Normal,AL,Y,7
Alabama AandM University Alumni Association,Alumni Association,Normal,AL,Y,8
Alabama Huntsville,Alumni Association,Huntsville,Al,Y,9
Alabama Pharmacy Association,Other,Montgomery,AL,Y,10
Alabama State University,University,Montgomery,AL,Y,11
Albany College of Pharmacy,University,Albany,NY,Y,12
Albany Law School,University,Albany,NY,Y,13
Alcorn State University,University,Lorman,MS,Y,14
Alfred State Alumni Association,Alumni Association,Alfred,NY,Y,15
"Alfred State Alumni Association, Inc.",Alumni Association,Alfred,NY,Y,16
Alpha Chi National College Honor Scholarship Society,Other,Searcy,AR,Y,17
Alpha Chi Omega,Other,Indianapolis,IN,Y,18
Alpha Chi Rho Fraternity,Other,Neptune,NJ,Y,19
Alpha Delta Kappa,University,Kansas City,MO,Y,20
Alpha Delta Pi Sorority,Other,Atlanta,GA,Y,21
Alpha Epsilon Delta,Other,Harrisonburg,VA,Y,22
Alpha Epsilon Omega Foundation,Other,Glendale,CA,Y,23
Alpha Epsilon Phi Foundation,Foundation,Stamford,CT,Y,24
Alpha Gamma Delta,Other,Indianapolis,IN,Y,25
Alpha Gamma Rho Fraternity,Other,Kansas City,MO,Y,26
Alpha Kappa Psi,Other,Indianapolis,IN,Y,27
"Alpha Kappa Psi Fraternity, Inc.",Other,Indianapolis,IN,Y,28
Alpha Omega International Dental Fraternity,Other,Baltimore,MD,Y,29
Alpha Omega International Dental Fraternity,Other,Rockville,MD,Y,30
Alpha Omicron Pi Fraternity Inc,Other,Brentwood,TN,Y,31
"Alpha Omicron Pi Fraternity, Inc.",Other,Brentwood,TN,Y,32
Alpha Phi Alpha Fraternity Inc,Other,Baltimore,MD,Y,33
"Alpha Phi Alpha Fraternity, Inc.",Other,Baltimore,MD,Y,34
Alpha Phi Delta Foundation Inc,Foundation,Monroeville,PA,Y,35
"Alpha Phi Delta Foundation, Inc.",Foundation,Monroeville,PA,Y,36
"Alpha Phi Delta Foundation, Inc.",Other,Pittsburgh,PA,Y,37
Alpha Phi International Fraternity,Other,Evanston,IL,Y,38
Alpha Sigma Alpha Sorority,Other,Indianapolis,IN,Y,39
Alpha Sigma Tau,Other,Birmingham,AL,Y,40
Alpha Sigma Tau,Other,Indianapolis,IN,Y,41
Alpha Tau Omega,Other,Indianapolis,IN,Y,42
Alpha Xi Delta Fraternity,Other,Indianapolis,IN,Y,43
Alumnae Association of Mount Holyoke College and the Trustees of Mount Holyoke College,"Alumni Association, University",South Hadley,MA,Y,44
Alumnae Association of Smith College,Alumni Association,Northampton,MA,Y,45
Alumnae Association of the College of Saint Elizabeth,Alumni Association,Morristown,NJ,Y,46
Alumnae Association of Trinity College,Alumni Association,Washington,DC,Y,47
Alumnae Association of Wilson College,Alumni Association,Chambersburg,PA,Y,48
Alumni Association of CCNY,Alumni Association,New York,NY,Y,49
Alumni Association of the University of Michigan,Alumni Association,Ann Arbor,MI,Y,50
Alumni Association of the University of Michigan and the Regents of the University of Michigan,"Alumni Association, University",Ann Arbor,MI,Y,51
Alumni Association of the University of Mississippi,Alumni Association,University,MI,Y,52
Alumni Association of the University of Oregon,Alumni Association,Eugene,OR,Y,53
Alumni Association of the University of Virginia,Alumni Association,Charlottesville,VA,Y,55
Alumni Association of University of North Carolina Greensboro,Alumni Association,Greensboro,NC,Y,56
"Alumni Association, Cal State Bakersfield Foundation",Foundation,Bakersfield,CA,Y,57
Alumni Associationof CCNY,Alumni Association,New York,NY,Y,58
Alumni Associationof Fashion Institute of Technology,Alumni Association,New York,NY,Y,59
Alumni Associationof George Mason University,Alumni Association,Fairfax,VA,Y,60
Alumni Associationof Philadelphia College of Osteopathic Medicine,Alumni Association,Philadelphia,PA,Y,61
"Alumni Associationof Purchase College, State University of New York",Alumni Association,Purchase,NY,Y,63
Alumni Associationof the City College of New York,Alumni Association,New York,NY,Y,64
"Alumni Associationof the State University of New York Agricultural and Technical College at Farmingdale, Inc.",Alumni Association,Farmingdale,NY,Y,65
Alumni Associationof the State University of New York at Albany,Alumni Association,Albany,NY,Y,66
Alumni Associationof the University of Michigan,Alumni Association,Ann Arbor,MI,Y,67
Alumni Associationof the University of Mississippi,Alumni Association,University,MI,Y,68
Alumni Associationof the University of Oregon,Alumni Association,Eugene,OR,Y,69
Alumni Associationof the University of South Dakota,Alumni Association,Vermillion,SD,Y,70
Alumni Associationof the University of Virginia,Alumni Association,Charlottesville,VA,Y,71
Alumni Associationof the University of West Alabama,Alumni Association,Livingston,AL,Y,72
Alumni Associationof University of North Carolina Greensboro,Alumni Association,Greensboro,NC,Y,73
Alumni Associationof Winthrop University,Alumni Association,Rock Hill,SC,Y,74
Alumni AssociationSchool of Medicine of Loma Linda University,Alumni Association,Loma Linda,CA,Y,75
"Alumni Society of the School of Visual Arts, Inc.",Alumni Association,New York,NY,Y,76
Alverno College,University,Milwaukee,WI,Y,77
American Academy of Optometry,Other,Rockville,MD,Y,78
American Academy of Osteopathy,Other,Indianapolis,IN,Y,79
American Association for Justice,Other,Washington,DC,Y,80
American Association of University Professors,Other,Washington,DC,Y,81
American Association of University Women,Other,Washington,DC,Y,83
American Chemical Society,Other,Washington,DC,Y,84
American College,University,Bryn Mawr,PA,Y,85
American College of Osteopathic Family Physicians,Other,Arlington Heights,IL,Y,86
American College of Sports Medicine,Other,Indianapolis,IN,Y,87
American College Student Association,Other,Columbia,SC,Y,88
American Counseling Association,Other,Alexandria,VA,Y,89
American Design Drafting Association,Other,Rockville,MD,Y,90
American Design Drafting Association,Other,Newbern,TN,Y,91
American Football Coaches Association,Other,Waco,TX,Y,92
American Health Information Management Association,Other,Chicago,IL,Y,93
American Institute of Aeronautics and Astronautics Inc,Other,Reston,VA,Y,94
